booking_id,site,hotel_id,customer_id,package_id,package_revision_id,nights,revision_number,booked_at,arrival_on,pax,pax_adult,revenue_dkk,discount_code_id
1,de,1072,311847,36113,38424,5,1,2021.08.01 0:01,2021.08.19,2,2,3820,1034
9,se,3961,311648,36787,38257,2,2,2021.08.01 7:31,2021.08.22,3,3,1365,905
17,se,8289,311857,37728,37728,2,1,2021.08.01 8:15,2021.08.01,2,2,3281,625
25,da,893,12685,36172,38080,1,1,2021.08.01 8:42,2021.08.07,2,2,4024,1029
33,da,5588,189706,36695,37932,2,1,2021.08.01 9:02,2021.08.30,2,2,2312,519
41,se,4759,311867,37537,38225,2,1,2021.08.01 9:14,2021.08.07,2,2,1146,625
49,se,4893,306446,35783,38422,3,2,2021.08.01 9:23,2021.08.01,2,2,2622,625
57,de,6053,311871,37410,37465,2,1,2021.08.01 9:35,2021.08.07,2,2,641,815
65,se,1293,311874,37026,38199,2,1,2021.08.01 9:41,2021.08.23,2,2,1064,891
73,da,1474,154506,38369,38397,3,2,2021.08.01 9:46,2021.08.28,2,2,3850,1029
81,se,4759,311883,37537,38225,2,1,2021.08.01 9:59,2021.08.01,4,4,2492,1037
89,de,2813,311885,36426,36426,2,1,2021.08.01 10:09,2021.08.17,3,3,3774,1132
97,de,2140,311891,35230,35230,3,1,2021.08.01 10:23,2021.08.04,2,2,1404,1132
105,se,4630,77413,36730,36730,2,1,2021.08.01 10:30,2021.08.03,2,2,3276,906
113,da,1665,311369,37737,37737,2,2,2021.08.01 10:39,2021.08.09,2,2,1314,319
121,no,5315,224205,37073,37073,2,1,2021.08.01 10:52,2021.08.25,2,2,683,1031
129,no,1952,289490,37905,38077,2,1,2021.08.01 10:59,2021.08.12,2,2,2230,0
137,se,6828,311892,35626,35885,2,2,2021.08.01 11:06,2021.08.14,2,2,3434,1086
145,da,6864,311907,36857,36857,4,1,2021.08.01 11:15,2021.08.14,4,2,3692,0
153,no,8018,311909,37478,37478,3,1,2021.08.01 11:26,2021.08.08,2,2,4174,1031
161,no,4662,311915,36019,36019,2,1,2021.08.01 11:35,2021.08.18,2,2,2275,1030
169,se,4759,311917,37537,38225,2,1,2021.08.01 11:40,2021.08.29,4,4,3331,1086
177,se,6828,175055,35626,35885,2,1,2021.08.01 11:46,2021.08.08,2,2,2983,1086
185,se,610,311601,38046,38170,3,1,2021.08.01 11:56,2021.08.12,2,2,2813,1086
193,da,1474,170525,38369,38397,2,1,2021.08.01 12:02,2021.08.02,1,1,2521,0
