site,hotel_id,customer_id,package_id,package_revision_id,nights,revision_number,booked_at,arrival_on,pax,pax_adult,revenue_dkk,discount_code_id
da,1627,319946,37664,37664,2,1,2021.08.25 0:42,2021.09.29,2,2,4717,519
da,5174,26025,38081,38081,3,1,2021.08.25 6:59,2021.10.04,4,4,4772,672
da,3615,319948,33875,38033,2,1,2021.08.25 7:25,2021.09.12,2,2,2018,519
da,4148,281631,35297,38733,2,1,2021.08.25 7:51,2021.09.30,2,2,2155,0
da,1120,173432,37377,37738,2,1,2021.08.25 8:08,2021.09.02,2,2,4454,903
da,3804,319768,36814,37295,2,1,2021.08.25 8:17,2021.09.20,2,2,4205,0
da,830,139722,35903,38556,3,1,2021.08.25 8:18,2021.09.26,4,4,4866,672
da,4148,319950,35297,38733,2,1,2021.08.25 8:37,2021.09.29,2,2,2231,519
da,5317,319951,38355,38355,2,1,2021.08.25 8:57,2021.09.25,2,2,2323,0
da,314,1881,38612,38612,3,1,2021.08.25 9:02,2021.09.02,2,2,1462,1029
da,7734,207547,35944,35944,3,1,2021.08.25 9:03,2021.09.08,2,2,2894,0
da,5348,207547,36081,36081,2,1,2021.08.25 9:13,2021.09.11,2,2,3087,1099
da,428,241232,35737,38510,2,1,2021.08.25 9:16,2021.09.02,4,4,3007,1029
da,4103,319725,35445,35445,2,2,2021.08.25 9:16,2021.09.26,4,2,3458,561
da,314,228486,36842,38604,2,1,2021.08.25 9:18,2021.09.08,2,2,2331,519
da,1191,319847,38353,38628,2,1,2021.08.25 9:23,2021.09.01,2,2,3559,0
da,645,319954,37390,37390,2,1,2021.08.25 9:24,2021.09.04,2,2,4946,519
da,6511,273074,35645,36849,2,1,2021.08.25 9:24,2021.09.03,2,2,4927,1029
da,648,250689,37391,38679,2,1,2021.08.25 9:28,2021.09.31,6,6,2268,1104
da,5215,319955,37945,37945,3,1,2021.08.25 9:30,2021.09.05,2,2,1522,519
se,846,319956,38713,38713,2,1,2021.08.25 9:34,2021.09.10,6,4,3154,891
da,7516,43230,35263,37987,2,1,2021.08.25 9:38,2021.09.27,2,2,3006,1313
se,5470,218763,36493,38205,2,1,2021.08.25 9:44,2021.09.03,2,2,3931,0
da,311,264801,36115,36115,2,1,2021.08.25 9:52,2021.09.04,4,4,2407,561
da,2194,449,35507,38705,2,1,2021.08.25 9:59,2021.09.13,2,2,3407,519
da,4594,260723,35177,35177,2,1,2021.08.25 9:59,2021.09.26,2,2,4407,561
da,3821,39170,36675,38018,2,1,2021.08.25 10:00,2021.09.22,2,2,2938,672
no,3768,282263,38558,38573,2,1,2021.08.25 10:01,2021.09.27,3,2,1983,1031
se,4050,110758,36878,36878,2,1,2021.08.25 10:01,2021.09.28,2,2,4988,0
da,1140,8832,37494,37698,2,4,2021.08.25 10:04,2021.09.06,4,4,3275,87
se,610,173090,38046,38170,3,1,2021.08.25 10:06,2021.09.29,2,2,3092,1086
de,658,312126,38027,38027,3,1,2021.08.25 10:14,2021.10.01,2,2,1708,911
da,3832,105376,37057,37057,5,2,2021.08.25 10:16,2021.09.21,2,2,1395,0
da,357,319957,35576,35576,2,1,2021.08.25 10:17,2021.09.10,4,4,4389,519
da,915,319960,36155,36155,2,1,2021.08.25 10:18,2021.09.27,3,2,3781,519
se,3961,319961,36787,38257,2,1,2021.08.25 10:19,2021.09.08,2,2,1342,288
se,1293,319962,37026,38199,2,1,2021.08.25 10:21,2021.09.29,4,2,2741,625
se,6587,319963,37380,37380,3,1,2021.08.25 10:22,2021.09.15,2,2,725,625
se,7936,315533,37174,37202,3,1,2021.08.25 10:23,2021.09.01,1,1,2172,1086
da,7730,319964,36083,37937,2,1,2021.08.25 10:26,2021.09.30,3,2,782,519
da,2681,7890,36245,36245,2,1,2021.08.25 10:26,2021.09.21,2,2,1797,0
se,3415,319965,38694,38694,2,1,2021.08.25 10:30,2021.09.26,2,2,3016,1037
se,3636,319966,38720,38720,3,1,2021.08.25 10:31,2021.09.11,2,2,3593,625
se,610,275711,38046,38170,3,1,2021.08.25 10:32,2021.09.08,2,2,2245,1037
da,7730,319967,36083,37937,2,1,2021.08.25 10:32,2021.09.30,2,2,2575,519
da,5866,143515,35870,35870,5,1,2021.08.25 10:35,2021.09.06,2,2,1080,0
se,6471,319968,36089,37943,2,1,2021.08.25 10:35,2021.09.28,4,4,4886,0
da,5974,285212,37972,37972,2,1,2021.08.25 10:37,2021.09.08,2,2,4127,672
da,7665,319970,34895,37253,2,1,2021.08.25 10:37,2021.09.31,3,3,975,519
se,785,286690,36055,37214,2,1,2021.08.25 10:43,2021.09.20,2,2,2592,1114
da,314,319971,36842,38604,2,1,2021.08.25 10:43,2021.09.10,2,2,1300,1313
se,6664,264460,38533,38536,2,2,2021.08.25 10:47,2021.09.20,2,2,2977,1113
da,4275,319972,38647,38647,2,1,2021.08.25 10:49,2021.09.26,2,2,1138,0
de,658,319973,35758,35758,3,1,2021.08.25 10:52,2021.09.22,2,2,4832,1034
da,893,221322,36172,38080,1,1,2021.08.25 10:56,2021.09.29,2,2,1525,519
da,2645,319974,36550,38646,2,1,2021.08.25 10:57,2021.09.31,2,2,1301,519
se,846,170787,38713,38713,2,1,2021.08.25 10:58,2021.09.04,2,2,4372,0
da,5582,319975,38708,38708,2,1,2021.08.25 11:02,2021.09.03,2,2,2597,0
da,7516,319976,35263,37987,3,1,2021.08.25 11:05,2021.09.27,3,2,4759,1331
se,8006,319977,38467,38467,2,1,2021.08.25 11:06,2021.09.04,3,3,1266,0
da,5111,319978,36320,36320,5,1,2021.08.25 11:07,2021.09.26,2,2,3845,0
da,3802,41443,36276,37565,2,1,2021.08.25 11:11,2021.09.19,2,2,710,1313
de,4728,319980,34982,38334,3,1,2021.08.25 11:13,2021.09.12,2,2,2784,436
se,3415,226353,38694,38694,3,1,2021.08.25 11:14,2021.09.13,2,2,2140,906
da,5582,251231,38526,38526,2,1,2021.08.25 11:15,2021.09.07,2,2,4490,58
da,884,174604,35385,38134,3,1,2021.08.25 11:18,2021.09.12,2,2,906,672
da,968,40878,38082,38100,2,3,2021.08.25 11:19,2021.09.09,8,8,3414,1029
da,3435,134231,36194,37844,7,2,2021.08.25 11:19,2021.09.28,3,2,3949,0
se,8117,197327,37768,38067,2,1,2021.08.25 11:19,2021.09.05,2,2,4830,1037
da,3615,301123,37562,37562,2,1,2021.08.25 11:20,2021.09.15,2,2,4436,186
da,1456,319981,36527,37298,2,1,2021.08.25 11:24,2021.09.19,2,2,1939,561
se,615,276658,36574,38174,2,1,2021.08.25 11:24,2021.09.31,4,4,1145,1086
no,4956,277500,37839,37839,2,1,2021.08.25 11:25,2021.09.31,2,2,4355,915
da,3061,319982,36798,37362,2,1,2021.08.25 11:25,2021.09.28,3,3,2578,1029
de,3776,319983,37430,37430,2,1,2021.08.25 11:30,2021.11.26,7,7,2453,1034
da,1140,213442,37494,37698,2,1,2021.08.25 11:31,2021.09.18,2,2,1789,519
da,415,319984,36330,37864,2,1,2021.08.25 11:34,2021.09.12,2,2,2822,1099
se,2125,177012,38672,38700,2,1,2021.08.25 11:35,2021.09.29,2,2,574,625
da,3643,319986,8819,35486,2,1,2021.08.25 11:40,2021.09.25,4,2,4492,561
da,3894,216291,34064,38404,2,1,2021.08.25 11:42,2021.09.29,4,4,4911,561
da,301,319987,36117,38569,2,1,2021.08.25 11:42,2021.09.29,2,2,877,0
da,1550,319949,36503,36503,4,2,2021.08.25 11:44,2021.09.27,2,2,1040,519
da,1191,216291,38353,38628,2,1,2021.08.25 11:45,2021.09.31,4,4,2599,561
da,1187,319933,37951,37954,2,2,2021.08.25 11:46,2021.09.30,2,2,2520,519
de,658,319988,35758,35758,2,1,2021.08.25 11:46,2021.09.20,2,2,3606,1034
da,1191,136765,38353,38628,2,1,2021.08.25 11:47,2021.09.11,4,4,2158,0
da,2995,319989,35558,37354,2,1,2021.08.25 11:48,2021.09.12,2,2,1442,0
da,3061,319991,36798,37362,2,1,2021.08.25 11:49,2021.09.27,2,2,1809,561
da,2582,319992,36952,37267,2,1,2021.08.25 11:50,2021.09.29,2,2,2031,0
se,2758,286647,36869,36869,2,1,2021.08.25 11:51,2021.09.12,2,2,522,625
da,1810,319993,38271,38271,4,1,2021.08.25 11:51,2021.09.29,2,2,860,519
da,830,111886,35903,38556,2,1,2021.08.25 11:54,2021.09.12,2,2,3549,519
da,1388,319994,36278,36278,2,1,2021.08.25 11:56,2021.09.27,2,2,4477,519
se,1590,319995,37201,37201,2,1,2021.08.25 11:59,2021.09.13,2,2,3083,625
da,1662,319996,33919,37587,2,1,2021.08.25 12:00,2021.09.15,2,2,2445,0
de,658,319997,38027,38027,2,1,2021.08.25 12:01,2021.10.01,4,4,2380,1034
da,311,319998,36115,36115,2,1,2021.08.25 12:02,2021.09.13,2,2,630,519
da,5807,204978,35173,35282,2,1,2021.08.25 12:02,2021.09.23,2,2,972,903
de,355,320000,37102,37102,3,1,2021.08.25 12:03,2021.09.23,2,2,2368,0
se,6554,319995,35628,35628,2,1,2021.08.25 12:04,2021.09.15,2,2,4153,625
da,8026,272395,37958,37958,4,1,2021.08.25 12:04,2021.09.26,3,2,2646,0
da,304,135831,38554,38680,2,1,2021.08.25 12:04,2021.09.26,2,2,3994,1100
se,6948,320001,36570,38154,3,1,2021.08.25 12:05,2021.09.23,2,2,637,1037
da,3824,191676,37364,37364,2,1,2021.08.25 12:06,2021.09.05,2,2,3409,1313
da,5974,320002,37972,37972,2,1,2021.08.25 12:06,2021.09.31,4,4,1030,1100
da,3932,191676,36573,36573,2,1,2021.08.25 12:07,2021.09.07,2,2,4092,1313
da,6043,191676,33818,37624,2,1,2021.08.25 12:08,2021.09.09,2,2,4715,1313
da,1377,37580,36205,37300,2,1,2021.08.25 12:12,2021.09.02,2,2,1476,1331
da,4728,320003,34982,38334,5,1,2021.08.25 12:16,2021.09.23,2,2,765,0
da,3070,169447,36729,37356,2,1,2021.08.25 12:17,2021.09.27,4,4,1120,519
da,2771,319857,35420,38614,2,1,2021.08.25 12:18,2021.09.25,2,2,1261,133
da,1031,14957,36173,38099,2,1,2021.08.25 12:19,2021.09.16,2,2,4556,561
da,355,320004,37102,37102,2,1,2021.08.25 12:20,2021.09.03,2,2,3431,519
da,1191,320005,38353,38628,2,1,2021.08.25 12:22,2021.09.30,2,2,2748,519
se,2528,190584,35652,38230,2,1,2021.08.25 12:22,2021.09.20,2,2,2627,1037
da,2995,320006,35558,37354,2,1,2021.08.25 12:22,2021.09.30,2,2,844,561
da,1191,225653,38353,38628,3,1,2021.08.25 12:25,2021.09.02,2,2,4805,561
se,4611,169925,37044,38233,2,1,2021.08.25 12:25,2021.09.16,2,2,3904,1037
da,1707,140456,37158,37286,2,1,2021.08.25 12:26,2021.09.02,2,2,4779,672
de,7690,273591,35070,35340,3,1,2021.08.25 12:30,2021.09.15,2,2,997,1034
de,5441,320007,37836,37836,2,1,2021.08.25 12:30,2021.09.30,2,2,3690,1354
no,7763,320008,35868,35868,2,1,2021.08.25 12:31,2021.09.27,2,2,2905,1126
da,3569,169683,36726,37251,2,1,2021.08.25 12:32,2021.09.26,4,4,982,519
da,3932,320009,36573,36573,3,1,2021.08.25 12:33,2021.09.19,2,2,3747,1331
se,2905,320010,37679,38241,2,1,2021.08.25 12:36,2021.09.04,2,2,2829,1037
se,650,251251,37656,38497,2,1,2021.08.25 12:37,2021.09.28,2,2,3298,625
da,7662,161505,34992,37280,2,1,2021.08.25 12:38,2021.09.26,3,3,4872,519
se,2758,292537,36869,36869,2,1,2021.08.25 12:39,2021.09.23,3,2,2357,625
se,1232,320011,38667,38667,2,1,2021.08.25 12:39,2021.09.02,4,4,3532,625
da,5713,320012,38701,38701,2,1,2021.08.25 12:40,2021.09.28,2,2,1816,519
de,3485,312045,37516,37516,4,1,2021.08.25 12:41,2021.09.11,2,2,1268,0
no,6729,279227,37555,38128,3,1,2021.08.25 12:42,2021.09.31,2,2,4342,1030
se,2528,320015,35653,38232,2,1,2021.08.25 12:46,2021.10.03,2,2,683,625
da,1374,232351,36259,36259,4,1,2021.08.25 12:46,2021.11.10,10,8,1653,761
de,958,320016,37982,38367,3,1,2021.08.25 12:46,2021.09.20,2,2,4660,1281
da,1388,320017,36278,36278,2,1,2021.08.25 12:50,2021.09.26,2,2,1890,561
de,7690,320018,35070,35340,3,1,2021.08.25 12:51,2021.09.12,1,1,4129,436
da,968,320019,38082,38100,2,1,2021.08.25 12:52,2021.09.11,2,2,904,87
no,7763,320020,35868,35868,2,1,2021.08.25 12:52,2021.09.28,2,2,4459,1121
da,5588,242430,38635,38635,2,1,2021.08.25 12:53,2021.09.12,2,2,4901,561
se,3279,111691,37023,38244,3,1,2021.08.25 12:53,2021.09.22,2,2,4973,904
de,7625,320021,35960,35960,2,1,2021.08.25 12:55,2021.10.12,2,2,4221,1032
da,1191,147938,38353,38628,3,1,2021.08.25 12:56,2021.09.03,2,2,1413,1099
da,3643,320022,8819,35486,2,1,2021.08.25 12:57,2021.09.27,2,2,1961,519
de,658,320023,38027,38027,3,1,2021.08.25 12:57,2021.10.10,2,2,3410,965
da,355,256217,37102,37102,2,1,2021.08.25 12:57,2021.09.23,4,4,708,903
da,1191,108360,38353,38628,2,1,2021.08.25 12:59,2021.09.02,2,2,2221,903
da,1191,22928,38353,38628,2,1,2021.08.25 13:00,2021.09.01,2,2,1808,561
da,301,226859,36117,38569,2,1,2021.08.25 13:00,2021.09.28,2,2,1306,561
da,7730,320025,37606,37935,2,1,2021.08.25 13:01,2021.09.24,2,2,2053,0
da,645,320026,37390,37390,2,1,2021.08.25 13:02,2021.09.13,4,4,4633,0
da,893,320027,36172,38080,2,1,2021.08.25 13:02,2021.09.18,2,2,4831,0
de,509,320028,37983,37983,3,1,2021.08.25 13:04,2021.09.13,2,2,2588,0
da,2995,221845,35558,37354,3,1,2021.08.25 13:06,2021.09.12,2,2,1501,145
se,4633,111691,35791,36175,2,1,2021.08.25 13:15,2021.09.19,2,2,2837,904
da,6511,320030,35645,36849,2,1,2021.08.25 13:16,2021.09.29,2,2,3388,1331
da,3569,320031,35332,37249,3,1,2021.08.25 13:17,2021.09.27,2,2,1668,561
da,4067,153215,38010,38645,2,1,2021.08.25 13:17,2021.09.27,3,2,2788,519
se,6483,133587,37859,38519,3,1,2021.08.25 13:21,2021.09.18,2,2,2258,906
da,651,319688,38026,38026,3,1,2021.08.25 13:22,2021.09.03,4,4,1176,1029
da,7730,320033,36083,37937,2,1,2021.08.25 13:22,2021.09.04,2,2,2807,0
se,3346,299252,36708,36708,2,1,2021.08.25 13:22,2021.09.17,2,2,1537,0
da,2194,207447,35507,38705,2,2,2021.08.25 13:28,2021.09.13,2,2,2067,186
se,6828,111691,35626,35885,2,1,2021.08.25 13:33,2021.09.17,2,2,4583,904
