booking_id,site,hotel_id,customer_id,package_id,package_revision_id,nights,revision_number,booked_at,arrival_on,pax,pax_adult,revenue_dkk,discount_code_id
25559,da,1627,319946,37664,37664,2,1,2021.07.25 0:42,2021.07.29,2,2,2759,519
25562,da,4148,281631,35297,38733,2,1,2021.07.25 7:51,2021.07.30,2,2,3190,0
25565,da,830,139722,35903,38556,3,1,2021.07.25 8:18,2021.09.26,4,4,3500,672
25568,da,314,1881,38612,38612,3,1,2021.07.25 9:02,2021.08.02,2,2,623,1029
25571,da,428,241232,35737,38510,2,1,2021.07.25 9:16,2021.08.02,4,4,4582,1029
25574,da,1191,319847,38353,38628,2,1,2021.07.25 9:23,2021.08.01,2,2,2599,0
25577,da,648,250689,37391,38679,2,1,2021.07.25 9:28,2021.08.31,6,6,2851,1104
25580,da,7516,43230,35263,37987,2,1,2021.07.25 9:38,2021.07.27,2,2,805,1313
25583,da,2194,449,35507,38705,2,1,2021.07.25 9:59,2021.08.13,2,2,4958,519
25586,no,3768,282263,38558,38573,2,1,2021.07.25 10:01,2021.07.27,3,2,2175,1031
25589,se,610,173090,38046,38170,3,1,2021.07.25 10:06,2021.08.29,2,2,2818,1086
25592,da,357,319957,35576,35576,2,1,2021.07.25 10:17,2021.09.10,4,4,3601,519
25595,se,1293,319962,37026,38199,2,1,2021.07.25 10:21,2021.07.29,4,2,4562,625
25598,da,7730,319964,36083,37937,2,1,2021.07.25 10:26,2021.07.30,3,2,3445,519
25601,se,3636,319966,38720,38720,3,1,2021.07.25 10:31,2021.08.11,2,2,3832,625
25604,da,5866,143515,35870,35870,5,1,2021.07.25 10:35,2021.09.06,2,2,3676,0
25607,da,7665,319970,34895,37253,2,1,2021.07.25 10:37,2021.08.31,3,3,4800,519
25610,se,6664,264460,38533,38536,2,2,2021.07.25 10:47,2021.09.20,2,2,2528,1113
25613,da,893,221322,36172,38080,1,1,2021.07.25 10:56,2021.07.29,2,2,3804,519
25616,da,5582,319975,38708,38708,2,1,2021.07.25 11:02,2021.08.03,2,2,2389,0
25619,da,5111,319978,36320,36320,5,1,2021.07.25 11:07,2021.07.26,2,2,2989,0
25622,se,3415,226353,38694,38694,3,1,2021.07.25 11:14,2021.08.13,2,2,4752,906
25625,da,968,40878,38082,38100,2,3,2021.07.25 11:19,2021.08.09,8,8,4495,1029
25628,da,3615,301123,37562,37562,2,1,2021.07.25 11:20,2021.08.15,2,2,2097,186
25631,no,4956,277500,37839,37839,2,1,2021.07.25 11:25,2021.07.31,2,2,4451,915
25634,da,1140,213442,37494,37698,2,1,2021.07.25 11:31,2021.08.18,2,2,3706,519
25637,da,3643,319986,8819,35486,2,1,2021.07.25 11:40,2021.07.25,4,2,2148,561
25640,da,1550,319949,36503,36503,4,2,2021.07.25 11:44,2021.07.27,2,2,4566,519
25643,de,658,319988,35758,35758,2,1,2021.07.25 11:46,2021.09.20,2,2,2482,1034
25646,da,3061,319991,36798,37362,2,1,2021.07.25 11:49,2021.07.27,2,2,856,561
25649,da,1810,319993,38271,38271,4,1,2021.07.25 11:51,2021.07.29,2,2,600,519
25652,se,1590,319995,37201,37201,2,1,2021.07.25 11:59,2021.08.13,2,2,3291,625
25655,da,311,319998,36115,36115,2,1,2021.07.25 12:02,2021.09.13,2,2,3084,519
25658,se,6554,319995,35628,35628,2,1,2021.07.25 12:04,2021.08.15,2,2,3658,625
